participant_id,true_rule,chosen_rule,true_blicket_objects,chosen_objects,num_unique_tests,info_gain_per_test,avg_response_time,num_tests_before_qa,action_history_length
558955ebfdf99b6bd06016c9,conjunctive,conjunctive,"[1, 3]","[1, 3]",15,"[0.32192809488736235, 0.41503749927884376, 0.16992500144231237, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.722,15,59
56e32190e414dc000c8b40ae,disjunctive,disjunctive,"[1, 2]","[1, 2]",7,"[0.32192809488736235, 1.584962500721156, 0.0, 1.0, 1.0, 0.0, 0.0]",12.136,7,23
58380cb9f1faf8000129673a,disjunctive,disjunctive,"[0, 1]","[0, 1]",10,"[0.32192809488736235, 0.2630344058337938, 0.15200309344505006, 0.16992500144231237, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0]",13.426,10,37
589f4b4b4d580c0001e0a155,disjunctive,disjunctive,"[0, 2]","[0, 2]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",6.04,4,12
58d834cec207720001e2e750,conjunctive,conjunctive,"[0, 2]","[0, 2]",13,"[0.09953567355091437, 0.22239242133644802, 0.0, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 3.169925001442312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14.818,13,56
594a969df0ea1b0001558178,conjunctive,disjunctive,"[1, 2]","[0, 1, 2, 3]",9,"[0.32192809488736235, 0.41503749927884376, 0.0, 1.584962500721156, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.647,12,34
5bdc6d16d9bc4e0001134779,disjunctive,disjunctive,"[0, 1]","[0, 1]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",5.306,4,11
5c04872c55614800012b7cf0,conjunctive,conjunctive,"[1, 3]","[1, 3]",12,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.0, 1.4594316186372973, 0.41503749927884376, 1.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0]",6.98,13,43
5c3bdbf548ad2900017fac31,conjunctive,disjunctive,"[0, 3]",[],4,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882]",6.02,4,13
5c452213a6c3df0001d2014f,disjunctive,disjunctive,"[0, 1]","[0, 1]",6,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",6.236,8,26
5c50046b2b89f500015e5f6b,conjunctive,conjunctive,"[0, 1]","[0, 1]",9,"[2.321928094887362, 0.5849625007211562, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11.981,9,25
5d439cb393066e001a5a4d26,disjunctive,disjunctive,"[2, 3]","[2, 3]",6,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 1.0, 0.0, 0.0]",25.637,6,19
